        Frequency                Csh2=0.3/abs,dB
----------------------------------------------------------------------
                     600                      -27.464595
                   602.1                      -27.126859
                   604.2                      -26.789421
                   606.3                      -26.452407
                   608.4                      -26.115954
                   610.5                      -25.780207
                   612.6                      -25.445335
                   614.7                      -25.111488
                   616.8                      -24.778825
                   618.9                      -24.447526
                     621                      -24.117773
                   623.1                      -23.789741
                   625.2                      -23.463615
                   627.3                      -23.139589
                   629.4                      -22.817861
                   631.5                      -22.498618
                   633.6                       -22.18206
                   635.7                      -21.868378
                   637.8                      -21.557778
                   639.9                      -21.250447
                     642                      -20.946565
                   644.1                      -20.646322
                   646.2                      -20.349901
                   648.3                      -20.057463
                   650.4                       -19.76917
                   652.5                      -19.485163
                   654.6                      -19.205601
                   656.7                      -18.930598
                   658.8                      -18.660246
                   660.9                       -18.39465
                     663                      -18.133914
                   665.1                      -17.878066
                   667.2                      -17.627157
                   669.3                       -17.38121
                   671.4                      -17.140235
                   673.5                      -16.904223
                   675.6                      -16.673131
                   677.7                      -16.446922
                   679.8                      -16.225528
                   681.9                      -16.008871
                     684                      -15.796847
                   686.1                      -15.589355
                   688.2                      -15.386261
                   690.3                      -15.187429
                   692.4                      -14.992721
                   694.5                      -14.801989
                   696.6                      -14.615052
                   698.7                      -14.431762
                   700.8                      -14.251935
                   702.9                      -14.075408
                     705                      -13.901993
                   707.1                      -13.731521
                   709.2                      -13.563805
                   711.3                      -13.398695
                   713.4                         -13.236
                   715.5                      -13.075567
                   717.6                      -12.917213
                   719.7                      -12.760803
                   721.8                      -12.606166
                   723.9                      -12.453183
                     726                      -12.301694
                   728.1                      -12.151577
                   730.2                      -12.002711
                   732.3                      -11.854969
                   734.4                      -11.708262
                   736.5                      -11.562469
                   738.6                      -11.417521
                   740.7                      -11.273329
                   742.8                      -11.129806
                   744.9                      -10.986908
                     747                      -10.844578
                   749.1                      -10.702746
                   751.2                      -10.561391
                   753.3                      -10.420482
                   755.4                      -10.279986
                   757.5                      -10.139902
                   759.6                      -10.000216
                   761.7                      -9.8609428
                   763.8                      -9.7220966
                   765.9                      -9.5836888
                     768                      -9.4457561
                   770.1                      -9.3083375
                   772.2                      -9.1714849
                   774.3                      -9.0352532
                   776.4                      -8.8997078
                   778.5                      -8.7649237
                   780.6                      -8.6309939
                   782.7                       -8.498004
                   784.8                      -8.3660551
                   786.9                      -8.2352625
                     789                      -8.1057435
                   791.1                      -7.9776239
                   793.2                      -7.8510387
                   795.3                      -7.7261293
                   797.4                      -7.6030484
                   799.5                      -7.4819491
                   801.6                      -7.3629924
                   803.7                      -7.2463476
                   805.8                      -7.1321851
                   807.9                      -7.0206798
                     810                      -6.9120044
                   812.1                      -6.8063389
                   814.2                      -6.7038655
                   816.3                       -6.604756
                   818.4                      -6.5091852
                   820.5                      -6.4173217
                   822.6                      -6.3293369
                   824.7                      -6.2453815
                   826.8                      -6.1656075
                   828.9                      -6.0901535
                     831                      -6.0191493
                   833.1                       -5.952708
                   835.2                      -5.8909317
                   837.3                      -5.8339066
                   839.4                      -5.7817043
                   841.5                       -5.734382
                   843.6                      -5.6919731
                   845.7                      -5.6544975
                   847.8                      -5.6219608
                   849.9                       -5.594345
                     852                      -5.5716204
                   854.1                       -5.553733
                   856.2                      -5.5406228
                   858.3                      -5.5322072
                   860.4                      -5.5283902
                   862.5                       -5.529064
                   864.6                      -5.5341129
                   866.7                      -5.5434033
                   868.8                      -5.5567955
                   870.9                      -5.5741464
                     873                       -5.595297
                   875.1                      -5.6200937
