        Frequency                Csh=0.3/abs,dB
----------------------------------------------------------------------
                     600                    -0.085978948
                   602.1                    -0.090563283
                   604.2                    -0.095397432
                   606.3                     -0.10049421
                   608.4                      -0.1058662
                   610.5                      -0.1115265
                   612.6                     -0.11748774
                   614.7                     -0.12376327
                   616.8                     -0.13036617
                   618.9                     -0.13730902
                     621                     -0.14460424
                   623.1                     -0.15226392
                   625.2                     -0.16029985
                   627.3                     -0.16872249
                   629.4                     -0.17754178
                   631.5                     -0.18676691
                   633.6                     -0.19640563
                   635.7                     -0.20646482
                   637.8                     -0.21694913
                   639.9                     -0.22786256
                     642                     -0.23920713
                   644.1                     -0.25098336
                   646.2                     -0.26318936
                   648.3                     -0.27582215
                   650.4                      -0.2888767
                   652.5                     -0.30234644
                   654.6                     -0.31622219
                   656.7                     -0.33049409
                   658.8                      -0.3451522
                   660.9                     -0.36018294
                     663                     -0.37557203
                   665.1                     -0.39130657
                   667.2                     -0.40737211
                   669.3                     -0.42375484
                   671.4                     -0.44044108
                   673.5                     -0.45741613
                   675.6                     -0.47467018
                   677.7                     -0.49219333
                   679.8                     -0.50997529
                   681.9                      -0.5280106
                     684                     -0.54629644
                   686.1                     -0.56483235
                   688.2                     -0.58362022
                   690.3                     -0.60266662
                   692.4                     -0.62198093
                   694.5                     -0.64157349
                   696.6                     -0.66146433
                   698.7                     -0.68167186
                   700.8                     -0.70222123
                   702.9                     -0.72313839
                     705                     -0.74445754
                   707.1                     -0.76621304
                   709.2                     -0.78844669
                   711.3                     -0.81119667
                   713.4                     -0.83451173
                   715.5                     -0.85844227
                   717.6                     -0.88304294
                   719.7                      -0.9083699
                   721.8                     -0.93448709
                   723.9                      -0.9614528
                     726                     -0.98934043
                   728.1                      -1.0182196
                   730.2                      -1.0481674
                   732.3                      -1.0792649
                   734.4                      -1.1115908
                   736.5                      -1.1452415
                   738.6                      -1.1803008
                   740.7                      -1.2168714
                   742.8                      -1.2550565
                   744.9                      -1.2949594
                     747                      -1.3366918
                   749.1                      -1.3803823
                   751.2                      -1.4261476
                   753.3                      -1.4741215
                   755.4                      -1.5244494
                   757.5                      -1.5772707
                   759.6                      -1.6327446
                   761.7                      -1.6910332
                   763.8                      -1.7523067
                   765.9                      -1.8167533
                     768                      -1.8845639
                   770.1                      -1.9559419
                   772.2                      -2.0311021
                   774.3                      -2.1102733
                   776.4                      -2.1936996
                   778.5                      -2.2816325
                   780.6                      -2.3743414
                   782.7                      -2.4721093
                   784.8                      -2.5752437
                   786.9                      -2.6840589
                     789                      -2.7988911
                   791.1                      -2.9200926
                   793.2                      -3.0480444
                   795.3                       -3.183143
                   797.4                      -3.3257997
                   799.5                      -3.4764619
                   801.6                      -3.6355923
                   803.7                      -3.8036869
                   805.8                      -3.9812572
                   807.9                      -4.1688572
                     810                      -4.3670699
                   812.1                      -4.5765008
                   814.2                       -4.797801
                   816.3                      -5.0316542
                   818.4                      -5.2787887
                   820.5                      -5.5399802
                   822.6                      -5.8160343
                   824.7                      -6.1078321
                   826.8                      -6.4163055
                   828.9                      -6.7424535
                     831                      -7.0873208
                   833.1                      -7.4520612
                   835.2                      -7.8378978
                   837.3                      -8.2461209
                   839.4                       -8.678134
                   841.5                       -9.135416
                   843.6                      -9.6195319
                   845.7                      -10.132073
                   847.8                      -10.674654
                   849.9                      -11.248811
                     852                      -11.855858
                   854.1                       -12.49661
                   856.2                      -13.170984
                   858.3                      -13.877363
                   860.4                      -14.611524
                   862.5                      -15.365019
                   864.6                      -16.122918
                   866.7                      -16.861105
                   868.8                      -17.543695
                   870.9                      -18.122903
                     873                      -18.544713
                   875.1                      -18.762321
                   877.2                      -18.753322
                   879.3                      -18.529643
                   881.4                      -18.131971
                   883.5                      -17.613499
                   885.6                      -17.024522
                   887.7                       -16.40443
                   889.8                      -15.780442
                   891.9                      -15.169618
                     894                      -14.581863
                   896.1                      -14.022176
                   898.2                      -13.492637
                   900.3                       -12.99345
                   902.4                      -12.523771
                   904.5                      -12.082235
                   906.6                      -11.667216
                   908.7                      -11.276926
                   910.8                      -10.909655
                   912.9                      -10.563716
                     915                      -10.237551
                   917.1                      -9.9296664
                   919.2                      -9.6387164
                   921.3                      -9.3634626
                   923.4                      -9.1027494
                   925.5                      -8.8555211
                   927.6                      -8.6208439
                   929.7                      -8.3978158
                   931.8                      -8.1856562
                   933.9                      -7.9836194
                     936                      -7.7910378
                   938.1                      -7.6072876
                   940.2                      -7.4318127
                   942.3                      -7.2640854
                   944.4                      -7.1036264
                   946.5                      -6.9499949
                   948.6                      -6.8027895
                   950.7                      -6.6616341
                   952.8                      -6.5261721
                   954.9                      -6.3960895
                     957                      -6.2710886
                   959.1                      -6.1508892
                   961.2                      -6.0352325
                   963.3                      -5.9238841
                   965.4                      -5.8166239
                   967.5                      -5.7132367
                   969.6                      -5.6135366
                   971.7                      -5.5173402
                   973.8                       -5.424478
                   975.9                      -5.3347943
                     978                      -5.2481387
                   980.1                      -5.1643732
                   982.2                      -5.0833717
                   984.3                      -5.0050078
                   986.4                      -4.9291674
                   988.5                       -4.855737
                   990.6                      -4.7846262
                   992.7                      -4.7157305
                   994.8                      -4.6489615
                   996.9                      -4.5842317
                     999                       -4.521462
                  1001.1                      -4.4605754
                  1003.2                      -4.4014961
                  1005.3                      -4.3441609
                  1007.4                      -4.2884986
                  1009.5                      -4.2344478
                  1011.6                      -4.1819493
                  1013.7                      -4.1309495
                  1015.8                      -4.0813917
                  1017.9                      -4.0332275
                    1020                      -3.9864045
                  1022.1                      -3.9408776
                  1024.2                      -3.8966025
                  1026.3                      -3.8535391
                  1028.4                      -3.8116408
                  1030.5                      -3.7708749
                  1032.6                      -3.7311986
                  1034.7                      -3.6925817
                  1036.8                      -3.6549845
                  1038.9                      -3.6183777
                    1041                      -3.5827275
                  1043.1                      -3.5480064
                  1045.2                       -3.514182
                  1047.3                      -3.4812295
                  1049.4                      -3.4491231
                  1051.5                      -3.4178324
                  1053.6                       -3.387335
                  1055.7                      -3.3576085
                  1057.8                      -3.3286304
                  1059.9                      -3.3003753
                    1062                      -3.2728241
                  1064.1                      -3.2459578
                  1066.2                      -3.2197531
                  1068.3                      -3.1941966
                  1070.4                      -3.1692667
                  1072.5                      -3.1449467
                  1074.6                      -3.1212198
                  1076.7                      -3.0980703
                  1078.8                      -3.0754815
                  1080.9                      -3.0534405
                    1083                      -3.0319341
                  1085.1                      -3.0109423
                  1087.2                      -2.9904586
                  1089.3                      -2.9704678
                  1091.4                      -2.9509587
                  1093.5                      -2.9319183
                  1095.6                      -2.9133373
                  1097.7                      -2.8952016
                  1099.8                       -2.877505
                  1101.9                      -2.8602339
                    1104                        -2.84338
                  1106.1                      -2.8269347
                  1108.2                      -2.8108891
                  1110.3                       -2.795236
                  1112.4                      -2.7799651
                  1114.5                      -2.7650695
                  1116.6                      -2.7505416
                  1118.7                      -2.7363743
                  1120.8                      -2.7225615
                  1122.9                      -2.7090963
                    1125                      -2.6959713
                  1127.1                      -2.6831835
                  1129.2                      -2.6707228
                  1131.3                      -2.6585866
                  1133.4                      -2.6467696
                  1135.5                      -2.6352656
                  1137.6                      -2.6240712
                  1139.7                      -2.6131802
                  1141.8                      -2.6025878
                  1143.9                      -2.5922928
                    1146                      -2.5822883
                  1148.1                      -2.5725707
                  1150.2                      -2.5631366
                  1152.3                      -2.5539829
                  1154.4                      -2.5451059
                  1156.5                      -2.5365016
                  1158.6                      -2.5281667
                  1160.7                      -2.5200994
                  1162.8                      -2.5122935
                  1164.9                      -2.5047515
                    1167                      -2.4974667
